"iksis"	"letters"	"words"	"closest"	"accuracy"	"distance"	"propCorrect"	"suppression"	"subject"	"VoiceCondition"	"ChunkCondition"	"LetterPosition"	"LetterType"
"1"	352	"o"	"order"	"Border"	0	1	0.833333333333333	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	1	"First"
"2"	216	"r"	"order"	"Border"	0	1	0.833333333333333	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	2	"Middle"
"3"	224	"d"	"order"	"Border"	0	1	0.833333333333333	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	3	"Middle"
"4"	168	"e"	"order"	"Border"	0	1	0.833333333333333	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	4	"Middle"
"5"	192	"r"	"order"	"Border"	0	1	0.833333333333333	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	5	"Middle"
"6"	504	" "	"Collies"	"Collies"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	0	"Space"
"7"	448	"C"	"Collies"	"Collies"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	1	"First"
"8"	320	"o"	"Collies"	"Collies"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	2	"Middle"
"9"	208	"l"	"Collies"	"Collies"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	3	"Middle"
"10"	160	"l"	"Collies"	"Collies"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	4	"Middle"
"11"	200	"i"	"Collies"	"Collies"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	5	"Middle"
"12"	496	"e"	"Collies"	"Collies"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	6	"Middle"
"13"	216	"s"	"Collies"	"Collies"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	7	"Middle"
"14"	264	" "	"have"	"have"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	0	"Space"
"15"	808	"h"	"have"	"have"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	1	"First"
"16"	208	"a"	"have"	"have"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	2	"Middle"
"17"	152	"v"	"have"	"have"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	3	"Middle"
"18"	144	"e"	"have"	"have"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	4	"Middle"
"19"	616	" "	"become"	"become"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	0	"Space"
"20"	304	"b"	"become"	"become"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	1	"First"
"21"	152	"e"	"become"	"become"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	2	"Middle"
"22"	232	"c"	"become"	"become"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	3	"Middle"
"23"	136	"o"	"become"	"become"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	4	"Middle"
"24"	192	"m"	"become"	"become"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	5	"Middle"
"25"	176	"e"	"become"	"become"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	6	"Middle"
"26"	504	" "	"the"	"the"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	0	"Space"
"27"	248	"t"	"the"	"the"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	1	"First"
"28"	96	"h"	"the"	"the"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	2	"Middle"
"29"	144	"e"	"the"	"the"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	3	"Middle"
"30"	512	" "	"cheif"	"chief"	0	1	0.8	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	0	"Space"
"31"	824	"c"	"cheif"	"chief"	0	1	0.8	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	1	"First"
"32"	208	"h"	"cheif"	"chief"	0	1	0.8	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	2	"Middle"
"33"	888	"e"	"cheif"	"chief"	0	1	0.8	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	3	"Middle"
"34"	1504	"i"	"cheif"	"chief"	0	1	0.8	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	4	"Middle"
"35"	352	"f"	"cheif"	"chief"	0	1	0.8	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	5	"Middle"
"36"	688	" "	"participant"	"participant"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	0	"Space"
"37"	432	"p"	"participant"	"participant"	1	0	1	"TalkLetter"	"p10c10.txt"	"Talk"	"Letter"	1	"First"
