"wordrep"	"letters"	"word_accuracy"	"iksis"	"responses"	"suppression"	"subject"
"2"	"The"	"h"	1	913	"h"	"Normal"	"p10crandom.txt"
"3"	"The"	"e"	1	79	"e"	"Normal"	"p10crandom.txt"
"4"	"natural"	"n"	1	168	"n"	"Normal"	"p10crandom.txt"
"5"	"natural"	"a"	1	80	"a"	"Normal"	"p10crandom.txt"
"6"	"natural"	"t"	1	224	"t"	"Normal"	"p10crandom.txt"
"7"	"natural"	"u"	1	136	"u"	"Normal"	"p10crandom.txt"
"8"	"natural"	"r"	1	120	"r"	"Normal"	"p10crandom.txt"
"9"	"natural"	"a"	1	224	"a"	"Normal"	"p10crandom.txt"
"10"	"natural"	"l"	1	144	"l"	"Normal"	"p10crandom.txt"
"11"	"working"	"w"	1	257	"w"	"Normal"	"p10crandom.txt"
"12"	"working"	"o"	1	111	"o"	"Normal"	"p10crandom.txt"
"13"	"working"	"r"	1	120	"r"	"Normal"	"p10crandom.txt"
"14"	"working"	"k"	1	88	"k"	"Normal"	"p10crandom.txt"
"15"	"working"	"i"	1	168	"i"	"Normal"	"p10crandom.txt"
"16"	"working"	"n"	1	192	"n"	"Normal"	"p10crandom.txt"
"17"	"working"	"g"	1	88	"g"	"Normal"	"p10crandom.txt"
"18"	"abiltiy"	"a"	0	224	"a"	"Normal"	"p10crandom.txt"
"19"	"abiltiy"	"b"	0	352	"b"	"Normal"	"p10crandom.txt"
"20"	"abiltiy"	"i"	0	312	"i"	"Normal"	"p10crandom.txt"
"21"	"abiltiy"	"l"	0	177	"l"	"Normal"	"p10crandom.txt"
"22"	"abiltiy"	"t"	0	127	"t"	"Normal"	"p10crandom.txt"
"23"	"abiltiy"	"i"	0	104	"i"	"Normal"	"p10crandom.txt"
"24"	"abiltiy"	"y"	0	176	"y"	"Normal"	"p10crandom.txt"
"25"	"in"	"i"	1	208	"i"	"Normal"	"p10crandom.txt"
"26"	"in"	"n"	1	217	"n"	"Normal"	"p10crandom.txt"
"27"	"Border"	"B"	1	808	"B"	"Normal"	"p10crandom.txt"
"28"	"Border"	"o"	1	672	"o"	"Normal"	"p10crandom.txt"
"29"	"Border"	"r"	1	96	"r"	"Normal"	"p10crandom.txt"
"30"	"Border"	"d"	1	208	"d"	"Normal"	"p10crandom.txt"
"31"	"Border"	"e"	1	200	"e"	"Normal"	"p10crandom.txt"
"32"	"Border"	"r"	1	80	"r"	"Normal"	"p10crandom.txt"
"33"	"Collies"	"C"	1	368	"C"	"Normal"	"p10crandom.txt"
"34"	"Collies"	"o"	1	160	"o"	"Normal"	"p10crandom.txt"
"35"	"Collies"	"l"	1	201	"l"	"Normal"	"p10crandom.txt"
"36"	"Collies"	"l"	1	135	"l"	"Normal"	"p10crandom.txt"
"37"	"Collies"	"i"	1	168	"i"	"Normal"	"p10crandom.txt"
"38"	"Collies"	"e"	1	112	"e"	"Normal"	"p10crandom.txt"
"39"	"Collies"	"s"	1	184	"s"	"Normal"	"p10crandom.txt"
"40"	"make"	"m"	0	176	"m"	"Normal"	"p10crandom.txt"
"41"	"make"	"a"	0	56	"a"	"Normal"	"p10crandom.txt"
"42"	"make"	"k"	0	136	"k"	"Normal"	"p10crandom.txt"
