"wordrep"	"letters"	"word_accuracy"	"best_match"	"str_distance"	"correct_word_length"	"proportion_letter_correct"	"iksis"	"responses"	"suppression"	"subject"
"2"	"The"	"h"	1	"The"	0	3	1	913	"h"	"Normal"	"p10crandom.txt"
"3"	"The"	"e"	1	"The"	0	3	1	79	"e"	"Normal"	"p10crandom.txt"
"4"	"natural"	"n"	1	"natural"	0	7	1	168	"n"	"Normal"	"p10crandom.txt"
"5"	"natural"	"a"	1	"natural"	0	7	1	80	"a"	"Normal"	"p10crandom.txt"
"6"	"natural"	"t"	1	"natural"	0	7	1	224	"t"	"Normal"	"p10crandom.txt"
"7"	"natural"	"u"	1	"natural"	0	7	1	136	"u"	"Normal"	"p10crandom.txt"
"8"	"natural"	"r"	1	"natural"	0	7	1	120	"r"	"Normal"	"p10crandom.txt"
"9"	"natural"	"a"	1	"natural"	0	7	1	224	"a"	"Normal"	"p10crandom.txt"
"10"	"natural"	"l"	1	"natural"	0	7	1	144	"l"	"Normal"	"p10crandom.txt"
"11"	"working"	"w"	1	"working"	0	7	1	257	"w"	"Normal"	"p10crandom.txt"
"12"	"working"	"o"	1	"working"	0	7	1	111	"o"	"Normal"	"p10crandom.txt"
"13"	"working"	"r"	1	"working"	0	7	1	120	"r"	"Normal"	"p10crandom.txt"
"14"	"working"	"k"	1	"working"	0	7	1	88	"k"	"Normal"	"p10crandom.txt"
"15"	"working"	"i"	1	"working"	0	7	1	168	"i"	"Normal"	"p10crandom.txt"
"16"	"working"	"n"	1	"working"	0	7	1	192	"n"	"Normal"	"p10crandom.txt"
"17"	"working"	"g"	1	"working"	0	7	1	88	"g"	"Normal"	"p10crandom.txt"
"18"	"abiltiy"	"a"	0	"ability"	1	7	0.857142857142857	224	"a"	"Normal"	"p10crandom.txt"
"19"	"abiltiy"	"b"	0	"ability"	1	7	0.857142857142857	352	"b"	"Normal"	"p10crandom.txt"
"20"	"abiltiy"	"i"	0	"ability"	1	7	0.857142857142857	312	"i"	"Normal"	"p10crandom.txt"
"21"	"abiltiy"	"l"	0	"ability"	1	7	0.857142857142857	177	"l"	"Normal"	"p10crandom.txt"
"22"	"abiltiy"	"t"	0	"ability"	1	7	0.857142857142857	127	"t"	"Normal"	"p10crandom.txt"
"23"	"abiltiy"	"i"	0	"ability"	1	7	0.857142857142857	104	"i"	"Normal"	"p10crandom.txt"
"24"	"abiltiy"	"y"	0	"ability"	1	7	0.857142857142857	176	"y"	"Normal"	"p10crandom.txt"
"25"	"in"	"i"	1	"in"	0	2	1	208	"i"	"Normal"	"p10crandom.txt"
"26"	"in"	"n"	1	"in"	0	2	1	217	"n"	"Normal"	"p10crandom.txt"
"27"	"Border"	"B"	1	"Border"	0	6	1	808	"B"	"Normal"	"p10crandom.txt"
"28"	"Border"	"o"	1	"Border"	0	6	1	672	"o"	"Normal"	"p10crandom.txt"
"29"	"Border"	"r"	1	"Border"	0	6	1	96	"r"	"Normal"	"p10crandom.txt"
"30"	"Border"	"d"	1	"Border"	0	6	1	208	"d"	"Normal"	"p10crandom.txt"
"31"	"Border"	"e"	1	"Border"	0	6	1	200	"e"	"Normal"	"p10crandom.txt"
"32"	"Border"	"r"	1	"Border"	0	6	1	80	"r"	"Normal"	"p10crandom.txt"
"33"	"Collies"	"C"	1	"Collies"	0	7	1	368	"C"	"Normal"	"p10crandom.txt"
"34"	"Collies"	"o"	1	"Collies"	0	7	1	160	"o"	"Normal"	"p10crandom.txt"
"35"	"Collies"	"l"	1	"Collies"	0	7	1	201	"l"	"Normal"	"p10crandom.txt"
"36"	"Collies"	"l"	1	"Collies"	0	7	1	135	"l"	"Normal"	"p10crandom.txt"
"37"	"Collies"	"i"	1	"Collies"	0	7	1	168	"i"	"Normal"	"p10crandom.txt"
"38"	"Collies"	"e"	1	"Collies"	0	7	1	112	"e"	"Normal"	"p10crandom.txt"
"39"	"Collies"	"s"	1	"Collies"	0	7	1	184	"s"	"Normal"	"p10crandom.txt"
"40"	"make"	"m"	0	"makes"	1	5	0.8	176	"m"	"Normal"	"p10crandom.txt"
"41"	"make"	"a"	0	"makes"	1	5	0.8	56	"a"	"Normal"	"p10crandom.txt"
"42"	"make"	"k"	0	"makes"	1	5	0.8	136	"k"	"Normal"	"p10crandom.txt"
"43"	"make"	"e"	0	"makes"	1	5	0.8	120	"e"	"Normal"	"p10crandom.txt"
"44"	"themn"	"t"	0	"them"	1	4	0.75	120	"t"	"Normal"	"p10crandom.txt"
"45"	"themn"	"h"	0	"them"	1	4	0.75	96	"h"	"Normal"	"p10crandom.txt"
"46"	"themn"	"e"	0	"them"	1	4	0.75	120	"e"	"Normal"	"p10crandom.txt"
"47"	"themn"	"m"	0	"them"	1	4	0.75	184	"m"	"Normal"	"p10crandom.txt"
"48"	"themn"	"n"	0	"them"	1	4	0.75	16	"n"	"Normal"	"p10crandom.txt"
"49"	"most"	"m"	1	"most"	0	4	1	568	"m"	"Normal"	"p10crandom.txt"
"50"	"most"	"o"	1	"most"	0	4	1	161	"o"	"Normal"	"p10crandom.txt"
"51"	"most"	"s"	1	"most"	0	4	1	615	"s"	"Normal"	"p10crandom.txt"
"52"	"most"	"t"	1	"most"	0	4	1	128	"t"	"Normal"	"p10crandom.txt"
"53"	"easy"	"e"	1	"easy"	0	4	1	144	"e"	"Normal"	"p10crandom.txt"
