"wordrep"	"letters"	"word_accuracy"
"2"	"abroad"	"b"	0
"3"	"abroad"	"r"	0
"4"	"abroad"	"o"	0
"5"	"abroad"	"a"	0
"6"	"abroad"	"d"	0
"7"	"a"	"a"	1
"8"	"border"	"b"	1
"9"	"border"	"o"	1
"10"	"border"	"r"	1
"11"	"border"	"d"	1
"12"	"border"	"e"	1
"13"	"border"	"r"	1
"14"	"tcolie"	"t"	0
"15"	"tcolie"	"c"	0
"16"	"tcolie"	"o"	0
"17"	"tcolie"	"l"	0
"18"	"tcolie"	"i"	0
"19"	"tcolie"	"e"	0
"20"	"is"	"i"	1
"21"	"is"	"s"	1
"22"	"happier"	"h"	1
"23"	"happier"	"a"	1
"24"	"happier"	"p"	1
"25"	"happier"	"p"	1
"26"	"happier"	"i"	1
"27"	"happier"	"e"	1
"28"	"happier"	"r"	1
"29"	"never"	"n"	1
"30"	"never"	"e"	1
"31"	"never"	"v"	1
"32"	"never"	"e"	1
"33"	"never"	"r"	1
"34"	"than"	"t"	1
"35"	"than"	"h"	1
"36"	"than"	"a"	1
"37"	"than"	"n"	1
"38"	"when"	"w"	1
"39"	"when"	"h"	1
"40"	"when"	"e"	1
"41"	"when"	"n"	1
"42"	"tdoing"	"t"	0
"43"	"tdoing"	"d"	0
"44"	"tdoing"	"o"	0
"45"	"tdoing"	"i"	0
"46"	"tdoing"	"n"	0
"47"	"tdoing"	"g"	0
"48"	"somethimng"	"s"	0
"49"	"somethimng"	"o"	0
"50"	"somethimng"	"m"	0
"51"	"somethimng"	"e"	0
"52"	"somethimng"	"t"	0
"53"	"somethimng"	"h"	0
"54"	"somethimng"	"i"	0
"55"	"somethimng"	"m"	0
"56"	"somethimng"	"n"	0
"57"	"somethimng"	"g"	0
"58"	"."	"."	0
"59"	"such"	"s"	1
"60"	"such"	"u"	1
"61"	"such"	"c"	1
"62"	"such"	"h"	1
"63"	"is"	"i"	1
"64"	"is"	"s"	1
"65"	"rrtheirt"	"r"	0
"66"	"rrtheirt"	"r"	0
"67"	"rrtheirt"	"t"	0
"68"	"rrtheirt"	"h"	0
"69"	"rrtheirt"	"e"	0
"70"	"rrtheirt"	"i"	0
"71"	"rrtheirt"	"r"	0
"72"	"rrtheirt"	"t"	0
"73"	"desire"	"d"	1
"74"	"desire"	"e"	1
"75"	"desire"	"s"	1
"76"	"desire"	"i"	1
"77"	"desire"	"r"	1
"78"	"desire"	"e"	1
"79"	"to"	"t"	1
"80"	"to"	"o"	1
"81"	"win"	"w"	0
"82"	"win"	"i"	0
"83"	"win"	"n"	0
"84"	"please"	"p"	1
"85"	"please"	"l"	1
