"wordrep"	"letters"	"word_accuracy"	"best_match"	"str_distance"	"correct_word_length"	"proportion_letter_correct"	"iksis"	"responses"	"suppression"	"subject"
"2"	"border"	"o"	1	"border"	0	6	1	239	"o"	"D0A"	"p10crandom.txt"
"3"	"border"	"r"	1	"border"	0	6	1	192	"r"	"D0A"	"p10crandom.txt"
"4"	"border"	"d"	1	"border"	0	6	1	288	"d"	"D0A"	"p10crandom.txt"
"5"	"border"	"e"	1	"border"	0	6	1	185	"e"	"D0A"	"p10crandom.txt"
"6"	"border"	"r"	1	"border"	0	6	1	176	"r"	"D0A"	"p10crandom.txt"
"7"	"cpllies"	"c"	0	"Collies"	2	7	0.714285714285714	328	"c"	"D0A"	"p10crandom.txt"
"8"	"cpllies"	"p"	0	"Collies"	2	7	0.714285714285714	144	"p"	"D0A"	"p10crandom.txt"
"9"	"cpllies"	"l"	0	"Collies"	2	7	0.714285714285714	616	"l"	"D0A"	"p10crandom.txt"
"10"	"cpllies"	"l"	0	"Collies"	2	7	0.714285714285714	152	"l"	"D0A"	"p10crandom.txt"
"11"	"cpllies"	"i"	0	"Collies"	2	7	0.714285714285714	232	"i"	"D0A"	"p10crandom.txt"
"12"	"cpllies"	"e"	0	"Collies"	2	7	0.714285714285714	56	"e"	"D0A"	"p10crandom.txt"
"13"	"cpllies"	"s"	0	"Collies"	2	7	0.714285714285714	104	"s"	"D0A"	"p10crandom.txt"
"14"	"have"	"h"	1	"have"	0	4	1	273	"h"	"D0A"	"p10crandom.txt"
"15"	"have"	"a"	1	"have"	0	4	1	336	"a"	"D0A"	"p10crandom.txt"
"16"	"have"	"v"	1	"have"	0	4	1	144	"v"	"D0A"	"p10crandom.txt"
"17"	"have"	"e"	1	"have"	0	4	1	144	"e"	"D0A"	"p10crandom.txt"
"18"	"become"	"b"	1	"become"	0	6	1	160	"b"	"D0A"	"p10crandom.txt"
"19"	"become"	"e"	1	"become"	0	6	1	72	"e"	"D0A"	"p10crandom.txt"
"20"	"become"	"c"	1	"become"	0	6	1	240	"c"	"D0A"	"p10crandom.txt"
"21"	"become"	"o"	1	"become"	0	6	1	96	"o"	"D0A"	"p10crandom.txt"
"22"	"become"	"m"	1	"become"	0	6	1	184	"m"	"D0A"	"p10crandom.txt"
"23"	"become"	"e"	1	"become"	0	6	1	168	"e"	"D0A"	"p10crandom.txt"
"24"	"the"	"t"	1	"the"	0	3	1	193	"t"	"D0A"	"p10crandom.txt"
"25"	"the"	"h"	1	"the"	0	3	1	768	"h"	"D0A"	"p10crandom.txt"
"26"	"the"	"e"	1	"the"	0	3	1	88	"e"	"D0A"	"p10crandom.txt"
"27"	"chiefg"	"c"	0	"chief"	1	5	0.8	208	"c"	"D0A"	"p10crandom.txt"
"28"	"chiefg"	"h"	0	"chief"	1	5	0.8	144	"h"	"D0A"	"p10crandom.txt"
"29"	"chiefg"	"i"	0	"chief"	1	5	0.8	96	"i"	"D0A"	"p10crandom.txt"
"30"	"chiefg"	"e"	0	"chief"	1	5	0.8	112	"e"	"D0A"	"p10crandom.txt"
"31"	"chiefg"	"f"	0	"chief"	1	5	0.8	216	"f"	"D0A"	"p10crandom.txt"
"32"	"chiefg"	"g"	0	"chief"	1	5	0.8	16	"g"	"D0A"	"p10crandom.txt"
"33"	"participants"	"p"	0	"participant"	1	11	0.909090909090909	408	"p"	"D0A"	"p10crandom.txt"
"34"	"participants"	"a"	0	"participant"	1	11	0.909090909090909	80	"a"	"D0A"	"p10crandom.txt"
"35"	"participants"	"r"	0	"participant"	1	11	0.909090909090909	120	"r"	"D0A"	"p10crandom.txt"
"36"	"participants"	"t"	0	"participant"	1	11	0.909090909090909	640	"t"	"D0A"	"p10crandom.txt"
"37"	"participants"	"i"	0	"participant"	1	11	0.909090909090909	176	"i"	"D0A"	"p10crandom.txt"
"38"	"participants"	"c"	0	"participant"	1	11	0.909090909090909	153	"c"	"D0A"	"p10crandom.txt"
"39"	"participants"	"i"	0	"participant"	1	11	0.909090909090909	80	"i"	"D0A"	"p10crandom.txt"
"40"	"participants"	"p"	0	"participant"	1	11	0.909090909090909	128	"p"	"D0A"	"p10crandom.txt"
"41"	"participants"	"a"	0	"participant"	1	11	0.909090909090909	136	"a"	"D0A"	"p10crandom.txt"
"42"	"participants"	"n"	0	"participant"	1	11	0.909090909090909	160	"n"	"D0A"	"p10crandom.txt"
"43"	"participants"	"t"	0	"participant"	1	11	0.909090909090909	136	"t"	"D0A"	"p10crandom.txt"
"44"	"participants"	"s"	0	"participant"	1	11	0.909090909090909	136	"s"	"D0A"	"p10crandom.txt"
"45"	"in"	"i"	1	"in"	0	2	1	104	"i"	"D0A"	"p10crandom.txt"
"46"	"in"	"n"	1	"in"	0	2	1	136	"n"	"D0A"	"p10crandom.txt"
"47"	"the"	"t"	1	"the"	0	3	1	112	"t"	"D0A"	"p10crandom.txt"
"48"	"the"	"h"	1	"the"	0	3	1	121	"h"	"D0A"	"p10crandom.txt"
"49"	"the"	"e"	1	"the"	0	3	1	151	"e"	"D0A"	"p10crandom.txt"
"50"	"sport"	"s"	1	"sport"	0	5	1	169	"s"	"D0A"	"p10crandom.txt"
"51"	"sport"	"p"	1	"sport"	0	5	1	104	"p"	"D0A"	"p10crandom.txt"
"52"	"sport"	"o"	1	"sport"	0	5	1	88	"o"	"D0A"	"p10crandom.txt"
"53"	"sport"	"r"	1	"sport"	0	5	1	191	"r"	"D0A"	"p10crandom.txt"
"54"	"sport"	"t"	1	"sport"	0	5	1	121	"t"	"D0A"	"p10crandom.txt"
"55"	"of"	"o"	1	"of"	0	2	1	144	"o"	"D0A"	"p10crandom.txt"
"56"	"of"	"f"	1	"of"	0	2	1	128	"f"	"D0A"	"p10crandom.txt"
"57"	"agility."	"a"	1	"agility."	0	8	1	304	"a"	"D0A"	"p10crandom.txt"
"58"	"agility."	"g"	1	"agility."	0	8	1	168	"g"	"D0A"	"p10crandom.txt"
"59"	"agility."	"i"	1	"agility."	0	8	1	168	"i"	"D0A"	"p10crandom.txt"
"60"	"agility."	"l"	1	"agility."	0	8	1	273	"l"	"D0A"	"p10crandom.txt"
"61"	"agility."	"i"	1	"agility."	0	8	1	120	"i"	"D0A"	"p10crandom.txt"
"62"	"agility."	"t"	1	"agility."	0	8	1	176	"t"	"D0A"	"p10crandom.txt"
"63"	"agility."	"y"	1	"agility."	0	8	1	200	"y"	"D0A"	"p10crandom.txt"
"64"	"agility."	"."	1	"agility."	0	8	1	304	"."	"D0A"	"p10crandom.txt"
"65"	"theur"	"t"	0	"the"	2	3	0.333333333333333	224	"t"	"D0A"	"p10crandom.txt"
"66"	"theur"	"h"	0	"the"	2	3	0.333333333333333	120	"h"	"D0A"	"p10crandom.txt"
"67"	"theur"	"e"	0	"the"	2	3	0.333333333333333	249	"e"	"D0A"	"p10crandom.txt"
"68"	"theur"	"u"	0	"the"	2	3	0.333333333333333	184	"u"	"D0A"	"p10crandom.txt"
"69"	"theur"	"r"	0	"the"	2	3	0.333333333333333	200	"r"	"D0A"	"p10crandom.txt"
"70"	"natural"	"n"	1	"natural"	0	7	1	152	"n"	"D0A"	"p10crandom.txt"
"71"	"natural"	"a"	1	"natural"	0	7	1	105	"a"	"D0A"	"p10crandom.txt"
"72"	"natural"	"t"	1	"natural"	0	7	1	88	"t"	"D0A"	"p10crandom.txt"
"73"	"natural"	"u"	1	"natural"	0	7	1	144	"u"	"D0A"	"p10crandom.txt"
"74"	"natural"	"r"	1	"natural"	0	7	1	112	"r"	"D0A"	"p10crandom.txt"
"75"	"natural"	"a"	1	"natural"	0	7	1	137	"a"	"D0A"	"p10crandom.txt"
"76"	"natural"	"l"	1	"natural"	0	7	1	175	"l"	"D0A"	"p10crandom.txt"
"77"	"athleticism"	"a"	1	"athleticism"	0	11	1	256	"a"	"D0A"	"p10crandom.txt"
"78"	"athleticism"	"t"	1	"athleticism"	0	11	1	225	"t"	"D0A"	"p10crandom.txt"
"79"	"athleticism"	"h"	1	"athleticism"	0	11	1	88	"h"	"D0A"	"p10crandom.txt"
"80"	"athleticism"	"l"	1	"athleticism"	0	11	1	168	"l"	"D0A"	"p10crandom.txt"
"81"	"athleticism"	"e"	1	"athleticism"	0	11	1	112	"e"	"D0A"	"p10crandom.txt"
"82"	"athleticism"	"t"	1	"athleticism"	0	11	1	96	"t"	"D0A"	"p10crandom.txt"
"83"	"athleticism"	"i"	1	"athleticism"	0	11	1	184	"i"	"D0A"	"p10crandom.txt"
"84"	"athleticism"	"c"	1	"athleticism"	0	11	1	312	"c"	"D0A"	"p10crandom.txt"
"85"	"athleticism"	"i"	1	"athleticism"	0	11	1	120	"i"	"D0A"	"p10crandom.txt"
"86"	"athleticism"	"s"	1	"athleticism"	0	11	1	152	"s"	"D0A"	"p10crandom.txt"
"87"	"athleticism"	"m"	1	"athleticism"	0	11	1	160	"m"	"D0A"	"p10crandom.txt"
"88"	"and"	"a"	1	"and"	0	3	1	289	"a"	"D0A"	"p10crandom.txt"
"89"	"and"	"n"	1	"and"	0	3	1	176	"n"	"D0A"	"p10crandom.txt"
"90"	"and"	"d"	1	"and"	0	3	1	120	"d"	"D0A"	"p10crandom.txt"
"91"	"keennes"	"k"	0	"keenness"	1	8	0.875	184	"k"	"D0A"	"p10crandom.txt"
"92"	"keennes"	"e"	0	"keenness"	1	8	0.875	112	"e"	"D0A"	"p10crandom.txt"
"93"	"keennes"	"e"	0	"keenness"	1	8	0.875	168	"e"	"D0A"	"p10crandom.txt"
"94"	"keennes"	"n"	0	"keenness"	1	8	0.875	280	"n"	"D0A"	"p10crandom.txt"
"95"	"keennes"	"n"	0	"keenness"	1	8	0.875	424	"n"	"D0A"	"p10crandom.txt"
"96"	"keennes"	"e"	0	"keenness"	1	8	0.875	104	"e"	"D0A"	"p10crandom.txt"
"97"	"keennes"	"s"	0	"keenness"	1	8	0.875	144	"s"	"D0A"	"p10crandom.txt"
"98"	"to"	"t"	1	"to"	0	2	1	249	"t"	"D0A"	"p10crandom.txt"
"99"	"to"	"o"	1	"to"	0	2	1	104	"o"	"D0A"	"p10crandom.txt"
"100"	"please"	"p"	1	"please"	0	6	1	160	"p"	"D0A"	"p10crandom.txt"
"101"	"please"	"l"	1	"please"	0	6	1	312	"l"	"D0A"	"p10crandom.txt"
"102"	"please"	"e"	1	"please"	0	6	1	144	"e"	"D0A"	"p10crandom.txt"
"103"	"please"	"a"	1	"please"	0	6	1	96	"a"	"D0A"	"p10crandom.txt"
"104"	"please"	"s"	1	"please"	0	6	1	200	"s"	"D0A"	"p10crandom.txt"
"105"	"please"	"e"	1	"please"	0	6	1	128	"e"	"D0A"	"p10crandom.txt"
"106"	"have"	"h"	1	"have"	0	4	1	169	"h"	"D0A"	"p10crandom.txt"
"107"	"have"	"a"	1	"have"	0	4	1	111	"a"	"D0A"	"p10crandom.txt"
"108"	"have"	"v"	1	"have"	0	4	1	745	"v"	"D0A"	"p10crandom.txt"
"109"	"have"	"e"	1	"have"	0	4	1	80	"e"	"D0A"	"p10crandom.txt"
"110"	"made"	"m"	1	"made"	0	4	1	120	"m"	"D0A"	"p10crandom.txt"
"111"	"made"	"a"	1	"made"	0	4	1	80	"a"	"D0A"	"p10crandom.txt"
"112"	"made"	"d"	1	"made"	0	4	1	128	"d"	"D0A"	"p10crandom.txt"
"113"	"made"	"e"	1	"made"	0	4	1	192	"e"	"D0A"	"p10crandom.txt"
"114"	"them"	"t"	1	"them"	0	4	1	320	"t"	"D0A"	"p10crandom.txt"
"115"	"them"	"h"	1	"them"	0	4	1	104	"h"	"D0A"	"p10crandom.txt"
"116"	"them"	"e"	1	"them"	0	4	1	152	"e"	"D0A"	"p10crandom.txt"
"117"	"them"	"m"	1	"them"	0	4	1	129	"m"	"D0A"	"p10crandom.txt"
"118"	"a"	"a"	1	"a"	0	1	1	96	"a"	"D0A"	"p10crandom.txt"
"119"	"very"	"v"	1	"very"	0	4	1	608	"v"	"D0A"	"p10crandom.txt"
"120"	"very"	"e"	1	"very"	0	4	1	128	"e"	"D0A"	"p10crandom.txt"
"121"	"very"	"r"	1	"very"	0	4	1	64	"r"	"D0A"	"p10crandom.txt"
"122"	"very"	"y"	1	"very"	0	4	1	152	"y"	"D0A"	"p10crandom.txt"
"123"	"suitable"	"s"	1	"suitable"	0	8	1	128	"s"	"D0A"	"p10crandom.txt"
"124"	"suitable"	"u"	1	"suitable"	0	8	1	128	"u"	"D0A"	"p10crandom.txt"
"125"	"suitable"	"i"	1	"suitable"	0	8	1	112	"i"	"D0A"	"p10crandom.txt"
"126"	"suitable"	"t"	1	"suitable"	0	8	1	88	"t"	"D0A"	"p10crandom.txt"
"127"	"suitable"	"a"	1	"suitable"	0	8	1	121	"a"	"D0A"	"p10crandom.txt"
"128"	"suitable"	"b"	1	"suitable"	0	8	1	104	"b"	"D0A"	"p10crandom.txt"
"129"	"suitable"	"l"	1	"suitable"	0	8	1	336	"l"	"D0A"	"p10crandom.txt"
"130"	"suitable"	"e"	1	"suitable"	0	8	1	368	"e"	"D0A"	"p10crandom.txt"
"131"	"subject"	"s"	1	"subject"	0	7	1	256	"s"	"D0A"	"p10crandom.txt"
"132"	"subject"	"u"	1	"subject"	0	7	1	113	"u"	"D0A"	"p10crandom.txt"
"133"	"subject"	"b"	1	"subject"	0	7	1	111	"b"	"D0A"	"p10crandom.txt"
"134"	"subject"	"j"	1	"subject"	0	7	1	256	"j"	"D0A"	"p10crandom.txt"
"135"	"subject"	"e"	1	"subject"	0	7	1	201	"e"	"D0A"	"p10crandom.txt"
"136"	"subject"	"c"	1	"subject"	0	7	1	104	"c"	"D0A"	"p10crandom.txt"
"137"	"subject"	"t"	1	"subject"	0	7	1	208	"t"	"D0A"	"p10crandom.txt"
"138"	"for"	"f"	1	"for"	0	3	1	184	"f"	"D0A"	"p10crandom.txt"
"139"	"for"	"o"	1	"for"	0	3	1	544	"o"	"D0A"	"p10crandom.txt"
"140"	"for"	"r"	1	"for"	0	3	1	88	"r"	"D0A"	"p10crandom.txt"
"141"	"this"	"t"	1	"this"	0	4	1	104	"t"	"D0A"	"p10crandom.txt"
"142"	"this"	"h"	1	"this"	0	4	1	144	"h"	"D0A"	"p10crandom.txt"
"143"	"this"	"i"	1	"this"	0	4	1	128	"i"	"D0A"	"p10crandom.txt"
"144"	"this"	"s"	1	"this"	0	4	1	177	"s"	"D0A"	"p10crandom.txt"
"145"	"sport,"	"s"	1	"sport,"	0	6	1	473	"s"	"D0A"	"p10crandom.txt"
"146"	"sport,"	"p"	1	"sport,"	0	6	1	127	"p"	"D0A"	"p10crandom.txt"
"147"	"sport,"	"o"	1	"sport,"	0	6	1	96	"o"	"D0A"	"p10crandom.txt"
"148"	"sport,"	"r"	1	"sport,"	0	6	1	256	"r"	"D0A"	"p10crandom.txt"
"149"	"sport,"	"t"	1	"sport,"	0	6	1	184	"t"	"D0A"	"p10crandom.txt"
"150"	"sport,"	","	1	"sport,"	0	6	1	1241	","	"D0A"	"p10crandom.txt"
"151"	"where"	"w"	1	"where"	0	5	1	112	"w"	"D0A"	"p10crandom.txt"
"152"	"where"	"h"	1	"where"	0	5	1	152	"h"	"D0A"	"p10crandom.txt"
"153"	"where"	"e"	1	"where"	0	5	1	144	"e"	"D0A"	"p10crandom.txt"
"154"	"where"	"r"	1	"where"	0	5	1	152	"r"	"D0A"	"p10crandom.txt"
"155"	"where"	"e"	1	"where"	0	5	1	96	"e"	"D0A"	"p10crandom.txt"
"156"	"the"	"t"	1	"the"	0	3	1	96	"t"	"D0A"	"p10crandom.txt"
"157"	"the"	"h"	1	"the"	0	3	1	88	"h"	"D0A"	"p10crandom.txt"
"158"	"the"	"e"	1	"the"	0	3	1	137	"e"	"D0A"	"p10crandom.txt"
"159"	"main"	"m"	1	"main"	0	4	1	159	"m"	"D0A"	"p10crandom.txt"
"160"	"main"	"a"	1	"main"	0	4	1	145	"a"	"D0A"	"p10crandom.txt"
"161"	"main"	"i"	1	"main"	0	4	1	120	"i"	"D0A"	"p10crandom.txt"
"162"	"main"	"n"	1	"main"	0	4	1	128	"n"	"D0A"	"p10crandom.txt"
"163"	"requirenments"	"r"	0	"requirements"	1	12	0.916666666666667	80	"r"	"D0A"	"p10crandom.txt"
"164"	"requirenments"	"e"	0	"requirements"	1	12	0.916666666666667	120	"e"	"D0A"	"p10crandom.txt"
"165"	"requirenments"	"q"	0	"requirements"	1	12	0.916666666666667	232	"q"	"D0A"	"p10crandom.txt"
"166"	"requirenments"	"u"	0	"requirements"	1	12	0.916666666666667	112	"u"	"D0A"	"p10crandom.txt"
"167"	"requirenments"	"i"	0	"requirements"	1	12	0.916666666666667	88	"i"	"D0A"	"p10crandom.txt"
