"Subject" "Country" "Gender" "Age" "Handedness" "Vision" "English" "NumberYearsTyping" "AgeStartedTyping" "FormalTraining" "TouchTypist" "InnerVoice"
"1" "1" "" "undefined" "undefined" "undefined" "undefined" "undefined" "20" "7" "Yes" "No" "Words"
"2" "3" "India" "Female" "30" "Right" "Normal" "First" "12" "18" "Yes" "Yes" "Words"
"3" "4" "India" "Male" "30" "Right" "Normal" "Second" "5" "22" "No" "No" "Words"
"4" "5" "India" "Male" "30" "Right" "Normal" "First" "8" "18" "No" "No" "Words"
"5" "8" "USA" "Female" "30" "Right" "Corrected" "First" "21" "8" "Yes" "Yes" "Words"
"6" "9" "USA" "Male" "45" "Right" "Normal" "First" "30" "15" "Yes" "Yes" "Words"
"7" "10" "USA" "Male" "30" "Right" "Normal" "First" "16" "10" "Yes" "Yes" "Words"
"8" "11" "USA" "Male" "25" "Left" "Corrected" "First" "12" "10" "Yes" "Yes" "Words"
"9" "12" "USA" "Female" "35" "Left" "undefined" "First" "23" "10" "No" "Yes" "Words"
"10" "13" "USA" "Male" "20" "Right" "Corrected" "First" "10" "8" "Yes" "Yes" "Words"
"11" "14" "USA" "Female" "35" "Right" "Corrected" "First" "20" "15" "Yes" "Yes" "Words"
"12" "16" "USA" "Female" "25" "Both" "Corrected" "First" "20" "4" "Yes" "Yes" "Words"
"13" "17" "USA" "Male" "25" "Right" "Corrected" "First" "12" "11" "Yes" "Yes" "Words"
"14" "18" "USA" "Male" "30" "Right" "Normal" "First" "15" "11" "No" "Yes" "Letters"
"15" "19" "USA" "Male" "30" "Right" "Normal" "First" "10" "16" "No" "Yes" "Letters"
"16" "20" "USA" "Female" "35" "Right" "Corrected" "First" "15" "16" "Yes" "Yes" "Words"
"17" "23" "USA" "Male" "30" "Right" "Normal" "First" "20" "7" "No" "Yes" "Words"
"18" "24" "India" "Male" "35" "Right" "Normal" "First" "18" "15" "No" "Yes" "Words"
"19" "25" "USA" "Male" "40" "Right" "Corrected" "First" "24" "14" "No" "Yes" "Words"
"20" "26" "USA" "Female" "25" "Right" "Corrected" "First" "10" "10" "No" "No" "Words"
"21" "27" "USA" "Male" "25" "Right" "Corrected" "First" "12" "12" "No" "Yes" "Words"
"22" "28" "India" "Male" "30" "Right" "Normal" "Second" "4" "24" "Yes" "Yes" "Letters"
"23" "29" "USA" "Male" "25" "Right" "Normal" "First" "18" "4" "No" "No" "Words"
"24" "30" "" "undefined" "undefined" "undefined" "undefined" "undefined" "" "" "undefined" "undefined" "undefined"
"25" "31" "USA" "Female" "25" "Right" "Normal" "First" "13" "10" "Yes" "Yes" "Words"
"26" "32" "India" "Male" "35" "Right" "Normal" "Second" "25" "10" "No" "No" "Words"
"27" "34" "USA" "Male" "undefined" "Right" "Corrected" "First" "10" "25" "No" "Yes" "Words"
"28" "35" "USA" "Male" "35" "Right" "Corrected" "First" "17" "14" "Yes" "Yes" "Words"
"29" "36" "USA" "Male" "25" "Both" "Corrected" "First" "9" "12" "Yes" "Yes" "Words"
"30" "37" "USA" "undefined" "undefined" "Right" "Corrected" "First" "22" "7" "Yes" "Yes" "Words"
"31" "38" "USA" "Male" "25" "Both" "Normal" "First" "10" "13" "Yes" "Yes" "Words"
"32" "39" "USA" "Male" "35" "Right" "Normal" "First" "22" "9" "Yes" "Yes" "Words"
"33" "40" "USA" "Female" "25" "Left" "Corrected" "First" "8" "13" "No" "Yes" "Words"
"34" "41" "USA" "Female" "40" "Right" "Normal" "First" "22" "15" "Yes" "Yes" "Words"
"35" "42" "India" "Female" "25" "Right" "Corrected" "First" "6" "18" "Yes" "Yes" "Words"
"36" "43" "USA" "Male" "30" "Right" "Corrected" "First" "25" "5" "Yes" "Yes" "Words"
"37" "45" "USA" "Female" "45" "Right" "Corrected" "First" "26" "15" "Yes" "Yes" "Words"
"38" "46" "India" "Female" "60" "Right" "Normal" "Second" "40" "20" "Yes" "Yes" "Words"
"39" "47" "USA" "Female" "35" "Right" "Normal" "First" "21" "14" "Yes" "Yes" "Words"
"40" "48" "United States" "Female" "25" "Right" "Normal" "First" "11" "13" "Yes" "Yes" "Words"
